scenario,user_input,retrieved_contexts,response,reference
시나리오 1: 단일 팩트 검색,2025년 1월 3일 거래된 매탄동 주공그린빌5 아파트 14층 매물의 거래금액은 얼마입니까?,"[작성일: 2025-01-03] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2025년 01월 03일입니다. 이의동 (지번: 1284)에 위치한 '수원광교행복주택' 아파트 5층 매물이 보증금 6826만원, 월세는 34만원으로 계약되었습니다. 전용면적은 36.7㎡ (약 11.1평)이며, 2018년에 준공된 단지입니다. 계약 기간은 2025년 04월부터 2027년 03월까지입니다."", ""[작성일: 2025-01-03] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 3일입니다. 매탄동 (지번: 1282)에 위치한 '주공그린빌5' 아파트 14층 매물이 거래금액 2억 9800만원에 중개거래되었으나, 25.04.11부로 해제되었습니다. 이 단지는 2002년에 준공되었으며, 전용면적은 36.38㎡ (약 11.0평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-03] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2025년 01월 03일입니다. 이의동 (지번: 1284)에 위치한 '수원광교행복주택' 아파트 7층 매물이 보증금 6826만원, 월세는 34만원으로 계약되었습니다. 전용면적은 36.7㎡ (약 11.1평)이며, 2018년에 준공된 단지입니다. 계약 기간은 2025년 04월부터 2027년 03월까지입니다."", ""[작성일: 2025-01-03] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2025년 01월 03일입니다. 이의동 (지번: 1284)에 위치한 '수원광교행복주택' 아파트 9층 매물이 보증금 6826만원, 월세는 34만원으로 계약되었습니다. 전용면적은 36.7㎡ (약 11.1평)이며, 2018년에 준공된 단지입니다. 계약 기간은 2025년 04월부터 2027년 03월까지입니다."", ""[작성일: 2025-01-03] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2025년 01월 03일입니다. 망포동 (지번: 725)에 위치한 '영통SKVIEW' 아파트 23층 매물이 보증금 1억원, 월세는 100만원으로 갱신 계약되었습니다. 전용면적은 84.4619㎡ (약 25.5평)이며, 2016년에 준공된 단지입니다. 계약 기간은 2025년 05월부터 2026년 01월까지입니다. 종전계약보증금은 1억원, 종전계약월세는 130만원입니다.","주공그린빌5 (매탄동)
거래일자: 2025년 01월 03일
거래금액: 2억 9,800만원
전용면적: 36.38㎡ (약 11.0평)
층수: 14층
준공연도: 2002년",2억 9800만원입니다.
시나리오 1: 단일 팩트 검색,2025년 1월 22일 거래된 망포동 늘푸른벽산 1층 매물은 얼마에 거래되었습니까?,"[작성일: 2025-01-22] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 22일입니다. 망포동 (지번: 488)에 위치한 '늘푸른벽산' 아파트 1층 매물이 거래금액 4억 8000만원에 중개거래되었으나, 25.04.08부로 해제되었습니다. 이 단지는 2000년에 준공되었으며, 전용면적은 114.954㎡ (약 34.8평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-22] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 22일입니다. 망포동 (지번: 488)에 위치한 '늘푸른벽산' 아파트 116동 1층 매물이 거래금액 4억 8000만원에 중개거래되었습니다. 이 단지는 2000년에 준공되었으며, 전용면적은 114.954㎡ (약 34.8평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-22] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 22일입니다. 영통동 (지번: 987-1)에 위치한 '영통e-편한세상' 아파트 5층 매물이 거래금액 5억 500만원에 중개거래되었으나, 25.04.21부로 해제되었습니다. 이 단지는 2007년에 준공되었으며, 전용면적은 84.98㎡ (약 25.7평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-22] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 22일입니다. 영통동 (지번: 987-1)에 위치한 '영통e-편한세상' 아파트 104동 5층 매물이 거래금액 5억 500만원에 중개거래되었습니다. 이 단지는 2007년에 준공되었으며, 전용면적은 84.98㎡ (약 25.7평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-22] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 22일입니다. 영통동 (지번: 987-1)에 위치한 '영통e-편한세상' 아파트 101동 13층 매물이 거래금액 5억 5000만원에 중개거래되었습니다. 이 단지는 2007년에 준공되었으며, 전용면적은 84.98㎡ (약 25.7평)입니다. 중개사 소재지는 경기 수원시 영통구입니다.","늘푸른벽산 (망포동)
거래일자: 2025년 01월 22일
거래금액: 4억 8,000만원
전용면적: 114.954㎡ (약 34.8평)
층수: 1층
준공연도: 2000년",4억 8000만원입니다.
시나리오 1: 단일 팩트 검색,2025년 1월 18일에 중개거래된 영통아이파크 이스트윙동 19층 매물의 전용면적은 몇 ㎡입니까?,"[작성일: 2025-01-18] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 18일입니다. 영통동 (지번: 1153)에 위치한 '영통아이파크' 아파트 19층 매물이 거래금액 4억 4700만원에 중개거래되었습니다. 이 단지는 2006년에 준공되었으며, 전용면적은 84.9985㎡ (약 25.7평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-18] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 18일입니다. 영통동 (지번: 1153)에 위치한 '영통아이파크' 아파트 이스트윙동 19층 매물이 거래금액 4억 4700만원에 중개거래되었습니다. 이 단지는 2006년에 준공되었으며, 전용면적은 84.9571㎡ (약 25.7평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-18] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 18일입니다. 영통동 (지번: 1154)에 위치한 '영통라온프라이빗' 아파트 101동동 18층 매물이 거래금액 6억 4300만원에 중개거래되었습니다. 이 단지는 2017년에 준공되었으며, 전용면적은 59.8334㎡ (약 18.1평)입니다. 중개사 소재지는 경기 수원시 영통구입니다."", ""[작성일: 2025-01-18] | [수원시 영통구] | 아파트 매매 거래입니다. 거래일자는 2025년 1월 18일입니다. 망포동 (지번: 800)에 위치한 '영통자이' 아파트 105동 22층 매물이 거래금액 6억원에 중개거래되었습니다. 이 단지는 2022년에 준공되었으며, 전용면적은 59.9614㎡ (약 18.1평)입니다. 중개사 소재지는 경기 수원시 권선구입니다."", ""[작성일: 2025-01-18] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2025년 01월 18일입니다. 영통동 (지번: 957-6)에 위치한 '영통에듀파크(321동~327동)' 아파트 4층 매물이 전세금 4억 5000만원으로 계약되었습니다. 전용면적은 84.96㎡ (약 25.7평)이며, 1997년에 준공된 단지입니다. 계약 기간은 2025년 03월부터 2027년 03월까지입니다.","영통아이파크 (이스트윙동)
거래일자: 2025년 01월 18일
거래금액: 4억 4,700만원
전용면적: 84.9571㎡ (약 25.7평)
층수: 19층
준공연도: 2006년",84.9571㎡입니다.
시나리오 1: 단일 팩트 검색,2026년 1월 17일에 전세 계약된 원천동 광교중흥에스클래스 20층 매물의 전세금은 얼마입니까?,"[작성일: 2026-01-17] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 17일입니다. 원천동 (지번: 589)에 위치한 '광교중흥에스클래스' 아파트 20층 매물이 전세금 8억 9000만원으로 계약되었습니다. 전용면적은 84.9388㎡ (약 25.7평)이며, 2019년에 준공된 단지입니다. 계약 기간은 2026년 04월부터 2028년 04월까지입니다."", ""[작성일: 2026-01-17] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 17일입니다. 원천동 (지번: 589)에 위치한 '광교중흥에스클래스' 아파트 20층 매물이 전세금 8억 8000만원으로 계약되었습니다. 전용면적은 84.9007㎡ (약 25.7평)이며, 2019년에 준공된 단지입니다. 계약 기간은 2026년 02월부터 2028년 02월까지입니다."", ""[작성일: 2026-01-17] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 17일입니다. 원천동 (지번: 589)에 위치한 '광교중흥에스클래스' 아파트 20층 매물이 전세금 8억 8000만원으로 계약되었습니다. 전용면적은 84.9007㎡ (약 25.7평)이며, 2019년에 준공된 단지입니다."", ""[작성일: 2026-01-17] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 17일입니다. 원천동 (지번: 589)에 위치한 '광교중흥에스클래스' 아파트 44층 매물이 전세금 9억 7600만원으로 계약되었습니다. 전용면적은 109.6186㎡ (약 33.2평)이며, 2019년에 준공된 단지입니다."", ""[작성일: 2026-01-17] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 17일입니다. 영통동 (지번: 957-6)에 위치한 '영통에듀파크(321동~327동)' 아파트 10층 매물이 전세금 5억 2000만원으로 계약되었습니다. 전용면적은 84.96㎡ (약 25.7평)이며, 1997년에 준공된 단지입니다. 계약 기간은 2026년 01월부터 2028년 01월까지입니다.","광교중흥에스클래스 (원천동)
거래일자: 2026년 01월 17일
전세금: 8억 8,000만원
전용면적: 84.9007㎡ (약 25.7평)
층수: 20층
준공연도: 2019년",8억 8000만원입니다.
시나리오 1: 단일 팩트 검색,2026년 1월 12일 전세 계약된 영통동 벽적골주공휴먼시아8단지 19층 매물의 전용면적은 얼마입니까?,"[작성일: 2026-01-12] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 12일입니다. 영통동 (지번: 972-2)에 위치한 '벽적골주공휴먼시아8단지' 아파트 19층 매물이 전세금 2억 3000만원으로 계약되었습니다. 전용면적은 49.59㎡ (약 15.0평)이며, 1997년에 준공된 단지입니다."", ""[작성일: 2026-01-12] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 12일입니다. 영통동 (지번: 970-3)에 위치한 '벽적골9단지주공' 아파트 14층 매물이 전세금 3억 4000만원으로 계약되었습니다. 전용면적은 59.39㎡ (약 18.0평)이며, 1999년에 준공된 단지입니다. 계약 기간은 2026년 03월부터 2028년 03월까지입니다."", ""[작성일: 2026-01-12] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 12일입니다. 영통동 (지번: 971-1)에 위치한 '벽적골롯데' 아파트 19층 매물이 전세금 2억 2000만원으로 계약되었습니다. 전용면적은 38.16㎡ (약 11.5평)이며, 2002년에 준공된 단지입니다. 계약 기간은 2026년 02월부터 2028년 02월까지입니다."", ""[작성일: 2026-01-12] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 12일입니다. 영통동 (지번: 957-6)에 위치한 '영통에듀파크(331동~337동)' 아파트 1층 매물이 전세금 4억 2000만원으로 갱신 계약되었습니다. 전용면적은 84.96㎡ (약 25.7평)이며, 1997년에 준공된 단지입니다. 계약 기간은 2026년 03월부터 2028년 03월까지입니다. 종전계약전세금은 4억원입니다."", ""[작성일: 2026-01-12] | [수원시 영통구] | 아파트 전세 거래입니다. 거래일자는 2026년 01월 12일입니다. 매탄동 (지번: 810)에 위치한 '삼성2' 아파트 12층 매물이 전세금 3억원으로 계약되었습니다. 전용면적은 74.4㎡ (약 22.5평)이며, 1989년에 준공된 단지입니다. 계약 기간은 2026년 02월부터 2028년 02월까지입니다.","벽적골주공휴먼시아8단지 (영통동)
거래일자: 2026년 01월 12일
전세금: 2억 3,000만원
전용면적: 49.59㎡ (약 15.0평)
층수: 19층
준공연도: 1997년",49.59㎡입니다.
시나리오 1: 단일 팩트 검색,2026년 1월 31일에 거래된 매탄동 원천성일 아파트 1층 월세 매물의 보증금과 월세는 각각 얼마입니까?,"[작성일: 2026-01-31] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2026년 01월 31일입니다. 원천동 (지번: 30-5)에 위치한 '수양' 아파트 3층 매물이 보증금 1억 6500만원, 월세는 10만원으로 계약되었습니다. 전용면적은 55.53㎡ (약 16.8평)이며, 1990년에 준공된 단지입니다. 계약 기간은 2026년 03월부터 2028년 03월까지입니다."", ""[작성일: 2026-01-31] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2026년 01월 31일입니다. 원천동 (지번: 606)에 위치한 '광교호반베르디움' 아파트 19층 매물이 보증금 3억 3000만원, 월세는 95만원으로 계약되었습니다. 전용면적은 59.9718㎡ (약 18.1평)이며, 2014년에 준공된 단지입니다. 계약 기간은 2026년 04월부터 2028년 04월까지입니다."", ""[작성일: 2026-01-31] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2026년 01월 31일입니다. 영통동 (지번: 969-1)에 위치한 '삼성' 아파트 2층 매물이 보증금 1억 5000만원, 월세는 120만원으로 계약되었습니다. 전용면적은 84.93㎡ (약 25.7평)이며, 1997년에 준공된 단지입니다. 계약 기간은 2026년 05월부터 2027년 05월까지입니다."", ""[작성일: 2026-01-31] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2026년 01월 31일입니다. 매탄동 (지번: 1199)에 위치한 '원천성일' 아파트 1층 매물이 보증금 1000만원, 월세는 59만원으로 계약되었습니다. 전용면적은 49.94㎡ (약 15.1평)이며, 1992년에 준공된 단지입니다."", ""[작성일: 2026-01-31] | [수원시 영통구] | 아파트 월세 거래입니다. 거래일자는 2026년 01월 31일입니다. 망포동 (지번: 760)에 위치한 '영통아이파크캐슬2단지' 아파트 2층 매물이 보증금 1억 7000만원, 월세는 180만원으로 계약되었습니다. 전용면적은 84.69㎡ (약 25.6평)이며, 2019년에 준공된 단지입니다. 계약 기간은 2026년 02월부터 2028년 02월까지입니다.","원천성일 아파트 (매탄동)
거래일자: 2026년 01월 31일
보증금: 1,000만원
월세: 59만원
전용면적: 49.94㎡ (약 15.1평)
층수: 1층
준공연도: 1992년","보증금 1000만원, 월세 59만원입니다."
시나리오 1: 단일 팩트 검색,2025년 4월 11일에 거래된 광주시 도척면 방도리 토지의 면적은 몇 ㎡입니까?,"[작성일: 2025-04-11] | [광주시 도척면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 11일입니다. 광주시 도척면 방도리 5번지에 위치한 지목 '도로', 용도지역 '계획관리지역' 토지 매물이 1000만원에 직거래되었습니다. 면적은 27.0㎡ (약 8.2평)입니다."", ""[작성일: 2025-04-11] | [광주시 도척면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 11일입니다. 광주시 도척면 방도리 2번지에 위치한 지목 '도로', 용도지역 '용도미지정' 토지 매물이 7500만원에 중개거래되었습니다. 면적은 165.0㎡ (약 49.9평)입니다. 중개사소재지는 경기 광주시입니다."", ""[작성일: 2025-04-11] | [광주시 도척면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 11일입니다. 광주시 목동 1번지에 위치한 지목 '도로', 용도지역 '계획관리지역' 토지 매물이 1100만원에 중개거래되었습니다. 면적은 26.0㎡ (약 7.9평)입니다. 중개사소재지는 경기 광주시입니다."", ""[작성일: 2025-04-11] | [광주시 도척면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 11일입니다. 광주시 목동 1번지에 위치한 지목 '공장용지', 용도지역 '계획관리지역' 토지 매물이 5억 6700만원에 중개거래되었습니다. 면적은 470.0㎡ (약 142.2평)입니다. 중개사소재지는 경기 광주시입니다."", ""[작성일: 2025-04-11] | [광주시 도척면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 11일입니다. 광주시 신현동 3**번지에 위치한 지목 '전', 용도지역 '계획관리지역' 토지 매물이 2억 2022만원에 중개거래되었습니다. 면적은 520.0㎡ (약 157.3평)입니다. 중개사소재지는 경기 광주시입니다.","광주시 도척면 방도리 2번지**
거래일자: 2025년 04월 11일
면적: 165.0㎡ (약 49.9평)",165.0㎡입니다.
시나리오 1: 단일 팩트 검색,2025년 4월 8일에 직거래된 광주시 초월읍 용수리 토지의 매매 금액은 얼마입니까?,"[작성일: 2025-04-08] | [광주시 초월읍 용수리] | 토지 매매 거래입니다. 거래일자는 2025년 04월 08일입니다. 광주시 초월읍 용수리 2번지에 위치한 지목 '답', 용도지역 '농림지역' 토지 매물이 5억 5000만원에 직거래되었습니다. 면적은 1294.0㎡ (약 391.4평)입니다."", ""[작성일: 2025-04-08] | [광주시 초월읍 용수리] | 토지 매매 거래입니다. 거래일자는 2025년 04월 08일입니다. 광주시 도척면 추곡리 2번지에 위치한 지목 '답', 용도지역 '생산관리지역' 토지 매물이 6160만원에 직거래되었습니다. 면적은 463.0㎡ (약 140.1평)입니다."", ""[작성일: 2025-04-08] | [광주시 초월읍 용수리] | 토지 매매 거래입니다. 거래일자는 2025년 04월 08일입니다. 광주시 도척면 추곡리 2번지에 위치한 지목 '답', 용도지역 '생산관리지역' 토지 매물이 1억 6140만원에 직거래되었습니다. 면적은 1213.0㎡ (약 366.9평)입니다."", ""[작성일: 2025-04-08] | [광주시 초월읍 용수리] | 토지 매매 거래입니다. 거래일자는 2025년 04월 08일입니다. 광주시 초월읍 학동리 5*번지에 위치한 지목 '공장용지', 용도지역 '계획관리지역' 토지 매물이 1억원에 직거래되었습니다. 면적은 775.0㎡ (약 234.4평)입니다."", ""[작성일: 2025-04-08] | [광주시 초월읍 용수리] | 토지 매매 거래입니다. 거래일자는 2025년 04월 08일입니다. 광주시 초월읍 도평리 1번지에 위치한 지목 '대', 용도지역 '계획관리지역' 토지 매물이 1억 1457만원에 직거래되었습니다. 면적은 139.48㎡ (약 42.2평)입니다.","광주시 초월읍 용수리 2번지**
거래일자: 2025년 04월 08일
매매 금액: 5억 5,000만원
면적: 1294.0㎡ (약 391.4평)",5억 5000만원입니다.
시나리오 1: 단일 팩트 검색,2025년 4월 2일에 토지 매매 거래된 광주시 남한산성면 불당리 6*번지 토지의 용도지역은 무엇입니까?,"[작성일: 2025-04-02] | [광주시 남한산성면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 02일입니다. 광주시 남한산성면 불당리 6번지에 위치한 지목 '전', 용도지역 '개발제한구역' 토지 매물이 702만원에 직거래되었습니다. 면적은 20.0㎡ (약 6.0평)입니다."", ""[작성일: 2025-04-02] | [광주시 남한산성면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 02일입니다. 광주시 남한산성면 불당리 6번지에 위치한 지목 '전', 용도지역 '개발제한구역' 토지 매물이 1억 6497만원에 직거래되었습니다. 면적은 467.0㎡ (약 141.3평)입니다."", ""[작성일: 2025-04-02] | [광주시 남한산성면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 02일입니다. 광주시 남한산성면 불당리 6*번지에 위치한 지목 '전', 용도지역 '개발제한구역' 토지 매물이 1170만원에 직거래되었습니다. 면적은 33.0㎡ (약 10.0평)입니다."", ""[작성일: 2025-04-02] | [광주시 남한산성면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 02일입니다. 광주시 신현동 7번지에 위치한 지목 '잡종지', 용도지역 '계획관리지역' 토지 매물이 2900만원에 중개거래되었습니다. 면적은 28.77㎡ (약 8.7평)입니다. 중개사소재지는 경기 광주시입니다."", ""[작성일: 2025-04-02] | [광주시 남한산성면] | 토지 매매 거래입니다. 거래일자는 2025년 04월 02일입니다. 광주시 신현동 7번지에 위치한 지목 '도로', 용도지역 '계획관리지역' 토지 매물이 2200만원에 중개거래되었습니다. 면적은 42.5㎡ (약 12.9평)입니다. 중개사소재지는 경기 광주시입니다.",용도지역: 개발제한구역,개발제한구역입니다.
시나리오 1: 단일 팩트 검색,2026년 4월 24일 월세 계약된 부천시 대우마이빌 오피스텔 8층 매물의 계약기간은 언제부터 언제까지입니까?,"[작성일: 2026-04-24] | [부천시] | 오피스텔 월세 거래입니다. 거래일자는 2026년 04월 24일입니다. 상동 (지번: 442-1)에 위치한 '상동 대우마이빌' 오피스텔 8층 매물이 보증금 500만원, 월세 50만원으로 계약되었습니다. 전용면적은 30.32㎡ (약 9.2평)이며, 건축년도는 2003년입니다. 계약기간은 2026년 04월부터 2027년 04월까지입니다. 갱신요구권은 미사용입니다."", ""[작성일: 2026-04-24] | [부천시] | 오피스텔 월세 거래입니다. 거래일자는 2026년 04월 24일입니다. 심곡본동 (지번: 776-2)에 위치한 '월드메르디앙 소사역' 오피스텔 8층 매물이 보증금 5000만원, 월세 135만원으로 계약되었습니다. 전용면적은 80.45㎡ (약 24.3평)이며, 건축년도는 2023년입니다. 계약기간은 2026년 05월부터 2028년 05월까지입니다. 갱신요구권은 미사용입니다."", ""[작성일: 2026-04-24] | [부천시] | 오피스텔 월세 거래입니다. 거래일자는 2026년 04월 24일입니다. 중동 (지번: 1149)에 위치한 '부천중동리슈빌엔클래스' 오피스텔 11층 매물이 보증금 3억원, 월세 10만원으로 계약되었습니다. 전용면적은 94.2㎡ (약 28.5평)이며, 건축년도는 2006년입니다. 계약기간은 2026년 06월부터 2028년 06월까지입니다. 갱신요구권은 미사용입니다."", ""[작성일: 2026-04-24] | [부천시] | 오피스텔 월세 거래입니다. 거래일자는 2026년 04월 24일입니다. 중동 (지번: 1144-3)에 위치한 '디아뜨갤러리3 A동' 오피스텔 11층 매물이 보증금 400만원, 월세 36만원으로 계약되었습니다. 전용면적은 17.41㎡ (약 5.3평)이며, 건축년도는 2004년입니다. 계약기간은 2026년 04월부터 2027년 04월까지입니다. 갱신요구권은 미사용입니다."", ""[작성일: 2026-04-24] | [부천시] | 오피스텔 월세 거래입니다. 거래일자는 2026년 04월 24일입니다. 중동 (지번: 1152-3)에 위치한 '메트로팰리스1 비동' 오피스텔 12층 매물이 보증금 500만원, 월세 40만원으로 계약되었습니다. 전용면적은 17.39㎡ (약 5.3평)이며, 건축년도는 2004년입니다. 계약기간은 2026년 04월부터 2027년 04월까지입니다. 갱신요구권은 미사용입니다.","상동 대우마이빌 (상동)
거래일자: 2026년 04월 24일
보증금/월세: 500만원 / 50만원
전용면적: 30.32㎡ (약 9.2평)
층수: 8층
건축년도: 2003년
계약기간: 2026년 04월부터 2027년 04월까지
갱신요구권: 미사용",2026년 04월부터 2027년 04월까지입니다.
