응답일시,참여자,개인정보 수집 및 이용 동의(*),평소에 AI를 사용하시나요?(*),무슨 AI를 사용하시나요?(*),무슨 목적으로 AI를 사용하시나요?(*),AI를 사용하면서 느낀 문제점이 있다면 적어주세요.(*)
2026-04-25 16:48:09,1,Y,네,Gemini,학습 & 연구,hallucination
2026-04-25 16:48:35,2,Y,네,ChatGPT,학습 & 연구,"프롬프트를 간단하게 적으면 원하는 맥락의 답을 주지 않을 때가 많다.
유료 결제를 하지 않으면 사용량이 한정적이다"
2026-04-25 16:51:36,3,Y,네,ChatGPT,글쓰기 & 서류,확실하게 검증되지 않은 자료가 가끔씩 나옴
2026-04-25 16:55:28,4,Y,네,Gemini,글쓰기 & 서류,가끔 근거없거나 사용자가 듣고 싶어하는 말을 골라서 해서 신뢰도가 떨어질 때가 있습니다
2026-04-25 16:58:04,5,Y,네,ChatGPT,아이디어 & 기획|자기관리,없습니다
2026-04-25 16:58:53,6,Y,네,ChatGPT|Gemini,학습 & 연구,원하는 답보다 생각보다 오차가 있음
2026-04-25 16:59:00,7,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,자세한 설명이 필요한 경우가 너무 많습니다.
2026-04-25 16:59:32,8,Y,네,ChatGPT|Gemini|Claude,코딩 & 데이터|아이디어 & 기획,이대복 커피내놔
2026-04-25 17:00:06,9,Y,네,ChatGPT,학습 & 연구|코딩 & 데이터,해킹 관련 CTF문제 해결능력 부족과 거짓된 정보 알려주는 것
2026-04-25 17:00:19,10,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,"환각현상, 실시간성결여"
2026-04-25 17:00:37,11,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|시각 & 감각|자기관리,정보에 대한 최신화가 안되어있다
2026-04-25 17:01:05,12,Y,네,퍼플렉시티,글쓰기 & 서류|아이디어 & 기획,"출처 불확실, 잘못된 정보"
2026-04-25 17:01:37,13,Y,네,Gemini,글쓰기 & 서류|학습 & 연구|코딩 & 데이터,"기억하지 않아도 될 프롬프트를 기억하고, 기억하라고 준 프롬프트를 기억하지 않는다"
2026-04-25 17:04:15,14,Y,네,ChatGPT|Gemini,글쓰기 & 서류|코딩 & 데이터,너무 요약해서 보여준다.?
2026-04-25 17:05:27,15,Y,네,ChatGPT|Gemini,글쓰기 & 서류|코딩 & 데이터|아이디어 & 기획|자기관리,사실과 다른 잘못된 정보를 얻을 수 있다.
2026-04-25 17:06:53,16,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|자기관리,정확한 출처가 없어 신뢰도가 떨어짐
2026-04-25 17:07:15,17,Y,네,ChatGPT|Gemini|Claude,코딩 & 데이터|아이디어 & 기획,없음
2026-04-25 17:08:52,18,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구,Al를 사용하면서 가끔 잘못된 정보를 알려주는게 불편했습니다
2026-04-25 17:09:27,19,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,거짓말 할 때가 있다
2026-04-25 17:13:42,20,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,거짓 정보를 사실처럼 얘기한다
2026-04-25 17:16:15,21,Y,네,ChatGPT,코딩 & 데이터,답변이 정확하지 않을때가 많음
2026-04-25 17:16:50,22,N,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|자기관리,"출처없는 근거와 자료, 최신정보에 약함, 창의성 부족"
2026-04-25 17:17:25,23,Y,네,ChatGPT,학습 & 연구|코딩 & 데이터|아이디어 & 기획|자기관리,없습니다
2026-04-25 17:18:05,24,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|코딩 & 데이터|자기관리,클로드 : 토큰 소모량이 다른 AI에 비해 크다
2026-04-25 17:18:28,25,Y,네,ChatGPT|Gemini|Claude|그록 그 외,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|시각 & 감각,할루시네이션이 아직은 심하다
2026-04-25 17:18:49,26,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,가끔 옳지 않은 정보를 알려주는 것
2026-04-25 17:19:31,27,Y,네,ChatGPT,글쓰기 & 서류,구라개많이침
2026-04-25 17:20:05,28,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|코딩 & 데이터|아이디어 & 기획|자기관리,정확한지 의심됨
2026-04-25 17:21:32,29,N,아니오,ChatGPT,애인 대행,말을 많이함
2026-04-25 17:22:47,30,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구|아이디어 & 기획,잘못된 정보를 줄때
2026-04-25 17:25:44,31,Y,네,Gemini|Claude,학습 & 연구|아이디어 & 기획,문제점은 아니지만 자료 종합하여 pdf파일로 만들어줄 때 글씨가 깨지는 경우가 종종 있어 가끔씩 불편하긴 합니다.
2026-04-25 17:27:54,32,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구,크게 없다고 생각합니다
2026-04-25 17:32:33,33,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구,가끔 정확하지 않은 정보를 줌
2026-04-25 17:39:04,34,Y,네,ChatGPT|Gemini,글쓰기 & 서류|아이디어 & 기획|시각 & 감각,이미지를 받고 마음에 안들어서 설명하고 다른이미지를 달라해도 같은이미지를 줄때
2026-04-25 17:39:58,35,Y,네,Claude,코딩 & 데이터,잘못된 정보 제공
2026-04-25 17:41:58,36,Y,네,ChatGPT|Gemini|클링 veo,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|시각 & 감각,일단 국내제품으로 흥행한 Ai영상 툴이 없어 영상 쪽 ai에선 한국어 지원이 매우 좋지 않음
2026-04-25 17:42:01,37,Y,네,ChatGPT|Gemini,글쓰기 & 서류|코딩 & 데이터|아이디어 & 기획,세세한 프롬포트 입력하지 않으면 이상한 결과가 나오는것
2026-04-25 17:47:20,38,Y,네,ChatGPT|Gemini|Claude,학습 & 연구|코딩 & 데이터|아이디어 & 기획,무료 버전은 이용제한
2026-04-25 17:49:56,39,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|낚시,환각 현상이 가끔씩 심함
2026-04-25 17:50:05,40,Y,네,Gemini,글쓰기 & 서류|학습 & 연구|아이디어 & 기획,없음
2026-04-25 17:50:22,41,Y,네,Gemini,글쓰기 & 서류|학습 & 연구,불확실한 정보가 너무 많아요 . . . . . . .
2026-04-25 18:05:33,42,Y,네,ChatGPT|Gemini,학습 & 연구|아이디어 & 기획,없는 내용을 맞는 내용인마냥 쓴다
2026-04-25 18:06:51,43,Y,네,ChatGPT|Gemini|Claude|그록,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|시각 & 감각|자기관리|의논이 필요한 사건이나 일 등등,"AI가 정확한 정보를 전달하도록 하게끔 프롬프트 작성을 잘 해야하고, AI가 주는 정보가 사실에 기반한 정보인지 구분이 필요하다."
2026-04-25 18:07:48,44,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구,없음
2026-04-25 18:14:54,45,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|코딩 & 데이터|자기관리,"문제점은 없는 것 같다 
여러 종류의 AI가 있기에 병행하여 사용하면 단점들을 커버해주는 것 같다"
2026-04-25 18:46:10,46,Y,네,ChatGPT,아이디어 & 기획|자기관리,아직 인간화가 덜 된 느낌을 종종 받습니다
2026-04-25 18:51:21,47,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구,정확하지 않은 정보가 너무 많음
2026-04-25 18:55:29,48,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|시각 & 감각|자기관리,없다
2026-04-25 19:04:59,49,Y,네,ChatGPT,코딩 & 데이터|아이디어 & 기획,"내가 찾은 정보들이 과연 적절한 정보일지, ai 그림 등의 경우에는 동의 없이 학습한 것도 많다는 말이 있어 걱정된다."
2026-04-25 19:12:43,50,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,AI를 활용하면 할수록 제가 너무 무능하다고 느껴져서 그게 문제입니다
2026-04-25 19:15:55,51,Y,네,ChatGPT|Gemini,글쓰기 & 서류|코딩 & 데이터,신뢰성 검증이 제대로 안 이루어진 결과가 있어 더블체크가 필요함
2026-04-25 19:16:24,52,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구,가끔 질문에 답을하다 딴길로 새는 경우가 있다!
2026-04-25 19:42:41,53,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구|아이디어 & 기획,"저작권, 개인정보 보호 미비"
2026-04-25 19:50:22,54,Y,네,Gemini|Claude,글쓰기 & 서류|학습 & 연구|코딩 & 데이터,설명이나 이야기를 제대로 안해주면 가끔 가다가 ai가 객관적인 사실이 아닌 부분을 쓰는 점
2026-04-25 21:02:54,55,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|자기관리,가끔 이상한말함
2026-04-25 21:07:11,56,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획|자기관리,할루시네이션
2026-04-25 21:30:40,57,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구|아이디어 & 기획|자기관리,없는거 같아용
2026-04-25 21:50:34,58,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|코딩 & 데이터|아이디어 & 기획,망상증세가 가장 큰 문제점이라고 느꼈습니다
2026-04-25 21:53:35,59,Y,네,ChatGPT,학습 & 연구,없습니다.
2026-04-25 22:29:00,60,Y,네,ChatGPT|Gemini,학습 & 연구|아이디어 & 기획,없다
2026-04-25 22:41:45,61,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구,가끔 말 못 알아듣고 같은 말 반복하는 문제
2026-04-25 22:58:54,62,Y,네,ChatGPT|Gemini,글쓰기 & 서류|아이디어 & 기획|시각 & 감각|자기관리,틀린정보를 맞는정보인것처럼 설명함
2026-04-26 00:26:55,63,Y,네,ChatGPT,글쓰기 & 서류|학습 & 연구,"평범하게 리포트 쓸때나 뭐 간단한거 물어볼때는 정확히 답변해주는데, 무슨 링크 같은 질문으로 넣으면 이상한 링크를 꼭 넣어서 주는 점."
2026-04-26 00:39:54,64,Y,네,ChatGPT|Gemini,학습 & 연구,"정확한 답을 물어보면 다맞다고하거나 
다른게 맞다고 하면 맞아! 사실 그거야 이런식으로 하는게 불편했어요"
2026-04-26 00:40:55,65,Y,네,Gemini,"그냥 일상생활중에 궁금한거 질문, 법령에 위반되는 사실인지 확인",거짓말과 사실이 섞여있다
2026-04-26 01:24:58,66,Y,네,ChatGPT|Gemini|Claude,글쓰기 & 서류|코딩 & 데이터,"1.거짓말하는 환각현상
2.저작권문제
3.특정 작업 (글쓰기,자료조사)에서 유독 정해진 틀에만 따름"
2026-04-26 02:14:08,67,Y,네,ChatGPT,학습 & 연구|자기관리,무성의하고 복불복답변인 느낌 특유의 ai느낌
2026-04-26 08:27:23,68,Y,네,ChatGPT,글쓰기 & 서류|자기관리,출처도 없는 이상한 자료를 끌고온다
2026-04-26 08:32:04,69,Y,네,ChatGPT|Gemini,글쓰기 & 서류|아이디어 & 기획,생각보다 잘못된 부분을 설명해주는 경우가 많습니다. 또한 정확한 출처를 밝히지못할때가 많으며 좀 더 논리적인 답변을 얻고자 할 때 논리적으로 설명하기보다는 같은 내용을 반복해서 얕은 부분만 설명한다는 것이 문제점이라고 생각합니다. 사고적인 학습에 도움이 된다기 보다는 개념을 이해하는 정도의 학습에 도움이 된다고 생각합니다.
2026-04-26 12:24:00,70,Y,네,ChatGPT|Gemini,글쓰기 & 서류|학습 & 연구|자기관리,너무 내 기분에 맞춰준다.
2026-04-26 12:53:00,71,Y,네,Gemini,학습 & 연구|아이디어 & 기획,당당하고 논리적인 어투로 틀린 정보제공
